name,review_count,rating,address1,address2,city,state,zip_code,url,id,latitude,longitude,alias,title,price
"Ninfa & Rose",1,5.0,,,"Los Angeles",CA,90014,https://www.yelp.com/biz/ninfa-and-rose-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Skf7m5lsaEyjHyZmfPNhSA,34.04308290341196,-118.25169416819534,florists,Florists,2
"Lucky Bakery",1,3.0,"136 W 7th St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/lucky-bakery-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Dhb4ikYGbzFtnfic8fQDKQ,34.044297337532,-118.252045512199,bakeries,Bakeries,2
"Panaderia Guerrero",1,3.0,"320 W 8th St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/panaderia-guerrero-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,J-Li6iRCPV9pw4vX9UGsAQ,34.043238,-118.250918,bakeries,Bakeries,2
"Little Damage",1427,3.5,"700 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/little-damage-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,e8oqUt2PJ48xt54xKV-w1w,34.04419,-118.25215,icecream,"Ice Cream & Frozen Yogurt",2
BurgerShop,127,4.5,"724 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/burgershop-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Nm1iV8Aaat4EF_0hPevXhg,34.04384,-118.25268,burgers,Burgers,2
Salatia,2,5.0,"724 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/salatia-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,wsZk88CQ6GhQ7gWmLmPzgg,34.04384,-118.25268,salad,Salad,2
"Civilization Coffee + Kitchen",55,4.0,"724 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/civilization-coffee-kitchen-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,isipIPGiWBt8CCexkPa4sQ,34.04365,-118.25266,sandwiches,Sandwiches,2
"Corporation Food Hall",67,4.0,"724 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/corporation-food-hall-los-angeles-3?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,6AxzXdxHnEv-Pr6JZkHnmA,34.0438200280931,-118.252910894549,food_court,"Food Court",2
"Island To Table Patty Hut",53,4.0,"724 S Spring St","Ste 105","Los angeles",CA,90014,https://www.yelp.com/biz/island-to-table-patty-hut-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,AVZbTyOV0_0P0cDZWHzPZw,34.0438135,-118.2525938,caribbean,Caribbean,2
"surfer grill",7,4.0,"724 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/surfer-grill-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,xQKnzPrqZl0W-y0dB6Y65A,34.04384,-118.25268,mexican,Mexican,2
