name,review_count,rating,city,zip_code,id,latitude,longitude,alias,title,price
"Tacos Super Gallito",47,3.0,"Los Angeles",90034,eUPc_BQUY56Ii5aw_GHAfQ,34.042263,-118.376704,foodtrucks,"Food Trucks",NA
"Chipotle Mexican Grill",228,2.0,"Baldwin Hills",90008,6btDYZIKwVybaT0RCw-SNg,34.0132844237488,-118.336624998301,mexican,Mexican,NA
"Phat Tacos",3,3.5,"Los Angeles",90015,cxnJuXPokw7flu_ilaotbQ,34.040523529052734,-118.26467895507812,tacos,Tacos,NA
"El Ostion Taco Truck",40,4.5,"Los Angeles",90015,lwQFTLQJIughwwZy6VF1dw,34.03864,-118.26136,mexican,Mexican,NA
"Ranchos Onsite Tacos",233,5.0,"Los Angeles",90015,fFD-3XDaQQVzKsNSOW86Vg,34.03925704956055,-118.26509857177734,catering,Caterers,NA
"Leo's Tacos Truck",402,4.0,"Los Angeles",90026,5XZdMmOjLjvdZwgRzro6lQ,34.067768,-118.261123,mexican,Mexican,NA
"Matthews Kitchen Truck",13,5.0,"Los Angeles",90034,LXyHtur_YLq-x0TN3BXClQ,34.0376702567719,-118.374769315124,foodtrucks,"Food Trucks",NA
"Burrito King Sunset",281,3.0,"Los Angeles",90026,lyzaGgYRg3vTm8enxGwmJQ,34.0777241,-118.2637577,mexican,Mexican,NA
"El Patroncito Mexican Cuisine",229,4.5,"Los Angeles",90015,Vl31AJJ7smvgt5Pu5MsP-A,34.036901,-118.268202,mexican,Mexican,NA
"The Carbon Grill",26,4.0,"Los Angeles",90035,-NOdJ-wF_zHZUrmYdcJG8A,34.0438537597656,-118.378509521484,mexican,Mexican,NA
"Doña Garnacha Taco Truck",9,4.5,"Los Angeles",90026,PwEU_ZVcX91vzNznIlT-uQ,34.0776194043274,-118.263471800194,foodstands,"Food Stands",NA
"Worldwide Tacos",291,3.5,"Los Angeles",90008,HpGFjRML4rKx6WCdZbGc7w,34.0109334,-118.3198899,mexican,Mexican,NA
"CJ's Cafe",236,3.5,"Los Angeles",90016,8wqqb7wTWM-LvTVNDmXhoA,34.01996,-118.356109,soulfood,"Soul Food",NA
"Taco Dose",1,5.0,"Los Angeles",90015,ZL8yTqOqn0rFKjFX7vgZyA,34.039387400149174,-118.26644988950004,catering,Caterers,NA
"Tacos Way",225,3.0,"Los Angeles",90046,I1wm3rZdZmQVn2i9NJJmRA,34.09761,-118.36421,tacos,Tacos,NA
"LA FINCA KITCHEN",1,5.0,"Los Angeles",90007,wnlNdVXpBG5gTyGswqadbw,34.02656,-118.27705,foodtrucks,"Food Trucks",NA
"Marix Tex Mex Cafe",494,3.5,"West Hollywood",90069,XWiA6AhHD0rBhgYXWyd0vg,34.091083,-118.371154,tex-mex,Tex-Mex,NA
"El Flamin Taco Truck",204,4.0,"Los Angeles",90026,bkXtGXX5kWjeGcl3VwIEaw,34.07739,-118.26316,foodtrucks,"Food Trucks",NA
"Jack in the Box",53,3.0,"Los Angeles",90007,S3uIl-IgSMXwBwhJcHCZMg,34.0254010898501,-118.278266787529,burgers,Burgers,NA
"Tacos Rojos",11,5.0,"Los Angeles",90015,PVztglknHyOp3p0K7uERyw,34.04156093154142,-118.26494364967695,foodtrucks,"Food Trucks",NA
"El Cholo",848,3.5,"Los Angeles",90015,JvYCa7lKBmAAnZMlbQxFrQ,34.04371,-118.26393,mexican,Mexican,NA
Verde,41,2.5,"Los Angeles",90089,qcUT0Wz4rXbjINy6L7Lpkw,34.0199943,-118.28577929509005,mexican,Mexican,NA
"la goterita food truck",2,4.5,"Los Angeles",90015,eor9XUuiWltlPXgGtSarHA,34.0372712873855,-118.267138302326,foodtrucks,"Food Trucks",NA
"Alonso Tacos ",3,5.0,"Los Angeles",90026,3JGRQxhsQ6ZxZPpMBZsQkg,34.0579155,-118.2598456,foodstands,"Food Stands",1
"901 Bar & Grill",309,3.5,"Los Angeles",90007,hHcO50egg663PN2v4hxeYw,34.025646,-118.2774206,bars,Bars,1
"Sonoritas Prime Tacos",124,4.0,"Los Angeles",90015,Ke3WFbRKFHOW7Ity6vO0jQ,34.04314,-118.26371,mexican,Mexican,1
"El Rio Bravo Restaurant",341,3.5,"Culver City",90232,27CXcAAteTucluMvvWCaKg,34.033371,-118.372963,mexican,Mexican,1
"J's Burrito",2,4.5,"Los Angeles",90015,OYtTBDBVdP2uUgQenoeelA,34.04760586907386,-118.2617681867744,mexican,Mexican,1
"Los compayitos food",6,4.5,"Los Angeles",90017,V1YkzrUwFO1jGoa3Jswntg,34.04696437876104,-118.26192509382962,mexican,Mexican,1
"Belmont Tacos",2,4.5,"Los Angeles",90026,It16tSrchcAWb8DG3FlPbg,34.061029,-118.25927,mexican,Mexican,1
"El Huero",1040,4.0,"Los Angeles",90007,2t-FTIdnJC1gDjpims7oMQ,34.02479918,-118.27785659,mexican,Mexican,1
"Felipe’s Tacos",1,5.0,"Los Angeles",90026,Gb0NifwwvTnP9d2uAN_A2g,34.07931143440255,-118.26294494965241,tacos,Tacos,1
"Perro 110",10,4.5,"Los Angeles",90017,SZTE0DCnTcJxBckW50-fYQ,34.0465,-118.26225,foodtrucks,"Food Trucks",1
"Petite Taqueria",269,3.5,"Los Angeles",90069,gB-8O-wXzOvEzwROmPp7Kw,34.0850581,-118.3766249,mexican,Mexican,1
"Ocho Mexican Grill",13,3.5,"Los Angeles",90017,Mi_6YlF1HpIC5csN8BGjRA,34.04877,-118.26077,mexican,Mexican,1
"Cilantro Mexican Grill",27,3.0,"Los Angeles",90017,4CYzFBkzjhxHzZ5RoTx30A,34.0473,-118.26129,mexican,Mexican,1
"Beverly Hills Bodega",11,5.0,"Beverly Hills",90211,1C0_gquqwITOx_j9DRVTJg,34.067722,-118.383573,beer_and_wine,"Beer, Wine & Spirits",1
"Mamá Por Dios",763,3.5,"Los Angeles",90048,T_Hiq_zgUz3C3Rlj843ZAw,34.07344,-118.38225,mexican,Mexican,1
"Bobby's Mexican Grill",14,4.5,"Los Angeles",90034,GIzb9yyGfBge3JDY3fKjeg,34.03803143823079,-118.37757001401626,foodtrucks,"Food Trucks",1
"Bed & Breakfast Burrito",1,1.0,"Beverly Hills",90211,yy64ZUNVR3jBYEXPsLYvPA,34.06498,-118.38288,breakfast_brunch,"Breakfast & Brunch",1
"Taco Bell",37,2.5,"Los Angeles",90008,QoxGwTgvBPPj-vo0cnXAQA,34.011162,-118.338518,hotdogs,"Fast Food",1
"Las Delicias",54,4.0,"Los Angeles",90062,nIfhkt9Wnj4ZOflbhAOy5w,34.0102421,-118.3090649,mexican,Mexican,1
"Casita del Campo",782,3.5,"Los Angeles",90027,RdLz9GVW48pu2XmhrMsLUg,34.09745,-118.27499,mexican,Mexican,1
"Lenny's Casita",128,4.5,"Los Angeles",90035,Zbl6doI-1YkRkJ2Bg8aYBg,34.05506466348398,-118.38432342704303,kosher,Kosher,1
"Julio's Taqueria",1,1.0,"Los Angeles",90046,HzUfh1hMOcpxH190k98fkw,34.09772,-118.36769,mexican,Mexican,1
"Pinches Tacos",893,4.0,"Los Angeles",90046,xVgz_F3gnbhyn_2goJ8vYQ,34.09772,-118.36769,mexican,Mexican,1
"Wild Dogs Grill",23,3.5,"Los Angeles",90017,SF9e0nmx70hYcIj7QyuGNg,34.048791,-118.2594084,hotdog,"Hot Dogs",1
"Gardens of Taxco",164,4.5,"West Hollywood",90069,i5HAfpnYE3X-UAk147WtFg,34.0895613,-118.3756666,mexican,Mexican,1
