name,review_count,rating,address1,address2,city,state,zip_code,url,id,latitude,longitude,alias,title,price
"Flavorz Los Angeles",6,5.0,"1360 Logan St",,"Los Angeles ",CA,90026,https://www.yelp.com/biz/flavorz-los-angeles-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,3OH8qLfVWH10uBUw5DqsaQ,34.077922661649055,-118.2579530927729,filipino,Filipino,2
"Lassens Natural Foods & Vitamins",235,3.0,"1631 W Sunset Blvd",,"Los Angeles",CA,90026,https://www.yelp.com/biz/lassens-natural-foods-and-vitamins-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,RmV5P6tQ5i40un4N3_xZlQ,34.0777350433413,-118.257853327657,vitaminssupplements,"Vitamins & Supplements",2
"Rodeo Express",52,4.5,"1717 W Sunset Blvd",,"Los Angeles",CA,90026,https://www.yelp.com/biz/rodeo-express-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,J-YdHW730lY0BgsDRZCB6Q,34.077727,-118.258845917881,mexican,Mexican,2
"Señor Fish",252,3.0,"1701 W Sunset Blvd",,"Los Angeles",CA,90026,https://www.yelp.com/biz/se%C3%B1or-fish-los-angeles-6?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,dKVIKCk_hXw01ivIvWGEcQ,34.0773897069776,-118.258504271507,mexican,Mexican,2
"LJ’s Fish And Shrimp Taco",38,4.5,"1625 Sunset Blvd",,"Los Angeles",CA,90026,https://www.yelp.com/biz/lj-s-fish-and-shrimp-taco-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,SVdZ44Wdu7RXGWMdRTt8Vw,34.077734,-118.257534,tacos,Tacos,2
"Rodeo Mexican Grill",430,3.0,"1721 W Sunset Blvd",,"Los Angeles",CA,90026,https://www.yelp.com/biz/rodeo-mexican-grill-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,4dGt-8wBw449e2e1nIj8MA,34.0777138,-118.2589755,mexican,Mexican,2
"Kind Kreme",120,3.5,"1700 W Sunset Blvd",,"Los Angeles",CA,90026,https://www.yelp.com/biz/kind-kreme-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,62fCjWIVfBIAc9tBOnBW7Q,34.07705,-118.25888,icecream,"Ice Cream & Frozen Yogurt",2
"Midnight Ridazz",22,3.5,"1321 Echo Park Ave",,"Los Angeles",CA,90026,https://www.yelp.com/biz/midnight-ridazz-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,JSdDhV58GE1jA4SWFNmKVA,34.0776405334473,-118.257133483887,localflavor,"Local Flavor",2
"Little Caesars Pizza",49,2.5,"1321 Echo Park Ave",,"Los Angeles",CA,90026,https://www.yelp.com/biz/little-caesars-pizza-los-angeles-43?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,81sbFRSQUhzhquoH7h1sIg,34.07764,-118.25713,pizza,Pizza,2
"Tacos Arabes- Taco Truck",9,4.5,"1210 Logan St",,"Los Angeles",CA,90026,https://www.yelp.com/biz/tacos-arabes-taco-truck-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,OurQD4GsApgFHTt7YPWCCA,34.0769585967064,-118.258563950658,mexican,Mexican,2
