name,review_count,rating,address1,address2,city,state,zip_code,url,id,latitude,longitude,alias,title,price
"NY n Cali",3,4.5,"Ny N Cali Rd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/ny-n-cali-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,iezdNL9b1XGRG1Oj2YOlqQ,34.0324632,-118.395863,foodtrucks,"Food Trucks",2
"Los Angeles Coffee Club",1,5.0,"3475 Motor Ave",,"Los Angeles",CA,90034,https://www.yelp.com/biz/los-angeles-coffee-club-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,sm-8E64subv5WrTi3izCgg,34.0324632,-118.395863,coffee,"Coffee & Tea",2
"Govinda's Natural Food Cafe",291,4.5,"3764 Watseka Ave",,"Los Angeles",CA,90034,https://www.yelp.com/biz/govindas-natural-food-cafe-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,4r0cX7eVMb3rwxd6xSnbLg,34.02524,-118.39714,vegetarian,Vegetarian,2
"Diorama-museum of Bhagavad-gita",89,5.0,"3764 Watseka Ave",,"Los Angeles",CA,90034,https://www.yelp.com/biz/diorama-museum-of-bhagavad-gita-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,b6TwR3xzfJ-A90heixripA,34.0253318,-118.3971124,artmuseums,"Art Museums",2
"Govinda International Imports",31,4.5,"3764 Watseka Ave",,"Los Angeles",CA,90034,https://www.yelp.com/biz/govinda-international-imports-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,KJm_VRfK-G_FsbiGcBljaQ,34.0252418518066,-118.39714050293,menscloth,"Men's Clothing",2
"Los Amiguis",2,3.5,"9715 Venice Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/los-amiguis-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,ot2inhO083tOMVC50UJuFQ,34.024528503418,-118.397575378418,streetvendors,"Street Vendors",2
"In-N-Out Burger",633,3.5,"9245 W Venice Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/in-n-out-burger-los-angeles-3?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Gox5gWQiP1o1kmExSF8JnQ,34.0264602,-118.3942849,burgers,Burgers,2
"Jersey Mike's Subs",31,3.5,"8985 Venice Blvd",#C1-B,"Los Angeles",CA,90034,https://www.yelp.com/biz/jersey-mikes-subs-los-angeles-36?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,_UCOuop-M-ALMotEj2mPIw,34.027096,-118.393452,sandwiches,Sandwiches,2
Wingstop,253,3.0,"8985 Venice Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/wingstop-los-angeles-23?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,cp0fPo23SxI3ACdZJZXAlA,34.0269446623258,-118.393379649738,chicken_wings,"Chicken Wings",2
"The Coffee Bean & Tea Leaf",91,3.0,"9829 Venice Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/the-coffee-bean-and-tea-leaf-los-angeles-88?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,MI5RIcAOTvPiuu6axVAAlA,34.02385,-118.39879,coffee,"Coffee & Tea",2
"Los Jorges",4,5.0,"9300 Venice Blvd",,"Los Angeles",CA,90034,https://www.yelp.com/biz/los-jorges-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,OTzPUw6HlXJK-CnPbDM8nA,34.02572,-118.394107,tacos,Tacos,2
"Noah's NY Bagels",335,2.5,"8985 Venice Blvd","Ste B","Los Angeles",CA,90034,https://www.yelp.com/biz/noahs-ny-bagels-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Mp0N-1Gp5kWQfW6HouMLuw,34.02718920623007,-118.39290580267046,bagels,Bagels,2
Starbucks,131,2.5,"8985 Venice Blvd","Ste CB-2","Los Angeles",CA,90034,https://www.yelp.com/biz/starbucks-los-angeles-36?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,y1RSPU_WQjlJhu41iuqSLw,34.0272,-118.392835,coffee,"Coffee & Tea",2
