name,review_count,rating,address1,address2,city,state,zip_code,url,id,latitude,longitude,alias,title,price
"Martha's Kitchen",1,5.0,"507 E 4th St",,"Los Angeles",CA,90013,https://www.yelp.com/biz/marthas-kitchen-los-angeles-6?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,ax9M8M-a-K0K-4T-iHdpdg,34.04488,-118.24115,bars,Bars,1
"Martha's Kitchen",15,4.5,"507 E 4th St",,"Los Angeles",CA,90013,https://www.yelp.com/biz/marthas-kitchen-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,P5RGGUcvqc2zj0kd-vKKTA,34.0449447631836,-118.241058349609,breakfast_brunch,"Breakfast & Brunch",1
"Rocky D's",2,3.0,"105 W 3rd St",,"Los Angeles",CA,90013,https://www.yelp.com/biz/rocky-ds-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,qRup-h1hsCDDLLkV17TW5g,34.0497214347124,-118.246015906334,mexican,Mexican,1
"Bao Bao House",7,4.0,,,"Los Angeles",CA,90013,https://www.yelp.com/biz/bao-bao-house-los-angeles-3?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,TO7eFjZXKJie8CQDzFlRVg,34.044806210221026,-118.2403322164658,dimsum,"Dim Sum",1
"Las Guajolotas",4,5.0,,,"Los Angeles",CA,90013,https://www.yelp.com/biz/las-guajolotas-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,_B4DGXR4OJ0I7wxPUe97MQ,34.044806210221026,-118.2403322164658,mexican,Mexican,1
"You Eat Now!",2,5.0,,,"Los Angeles",CA,90013,https://www.yelp.com/biz/you-eat-now-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,rKE-FnwQ39JxnOfFZ0C_GA,34.0443153381348,-118.240760803223,filipino,Filipino,1
"Heavenly Delights Cobblers",21,4.5,,,"los angeles",CA,90013,https://www.yelp.com/biz/heavenly-delights-cobblers-los-angeles-4?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,-bGzoS4skypdHVvFhina0w,34.04604,-118.24523,desserts,Desserts,1
Serendoggity,35,4.5,,,"Los Angeles",CA,90013,https://www.yelp.com/biz/serendoggity-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,e5VSkkJ9tIREnvENmo6uPA,34.04604,-118.24523,hotdog,"Hot Dogs",1
"$1 Socks on Broadway",2,2.5,,,"Los Angeles",CA,90013,https://www.yelp.com/biz/1-socks-on-broadway-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,G2IKAsoMKm3yRJW03o_4vg,34.0443153381348,-118.240760803223,localflavor,"Local Flavor",1
"La Calaca Fish Tacos",14,5.0,,,"Los Angeles",CA,90013,https://www.yelp.com/biz/la-calaca-fish-tacos-los-angeles-3?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,RrgKPtEb0dCVTl3YysPDRQ,34.0469,-118.24645,catering,Caterers,1
"Los Angeles Club Crawl",36,5.0,,,"Los Angeles",CA,90013,https://www.yelp.com/biz/los-angeles-club-crawl-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,ESUPfJxrDMA9hisntC0PCg,34.04533,-118.24456,danceclubs,"Dance Clubs",1
"Son of a Bun",162,4.5,,,"Los Angeles",CA,90013,https://www.yelp.com/biz/son-of-a-bun-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,JBmDS4EMDwfDSRq7kTDNqA,34.04604,-118.24523,foodtrucks,"Food Trucks",1
"High Tide",116,4.0,"605 E 4th St",,"Los Angeles",CA,90013,https://www.yelp.com/biz/high-tide-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,o83oI-7UOJTwBJuqPLON-Q,34.044503,-118.24037,beergardens,"Beer Gardens",1
"The Escondite",693,4.0,"410 Boyd St",,"Los Angeles",CA,90013,https://www.yelp.com/biz/the-escondite-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,ZXLsi_UFu-kXDXrUpmLumg,34.04616,-118.24241,tradamerican,"American (Traditional)",1
"Ensueños Café",3,2.5,"418 S San Pedro St",,"Los Angeles",CA,90013,https://www.yelp.com/biz/ensue%C3%B1os-caf%C3%A9-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,LyQ1bGEiAf_iKyytvdjnUA,34.0451183,-118.2431961,tradamerican,"American (Traditional)",1
"Kohii Coffee Co",15,4.0,"420 E 3rd St",,"Los Angeles",CA,90013,https://www.yelp.com/biz/kohii-coffee-co-los-angeles-3?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,AsIIelYWi9ms3aAjai090Q,34.0468057672128,-118.241829644731,coffee,"Coffee & Tea",1
"The Grill Sergeant",4,3.5,,,"Los Angeles",CA,90013,https://www.yelp.com/biz/the-grill-sergeant-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,E_QDrX4r2OH7mVaX8fymIQ,34.0455322265625,-118.241630554199,streetvendors,"Street Vendors",1
"Ginza Ya Bakery",1,5.0,"333 S Alameda St",,"Los Angeles",CA,90013,https://www.yelp.com/biz/ginza-ya-bakery-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,JjJ9W1-yRToO_WuHGOMaYQ,34.044508,-118.238964,bakeries,Bakeries,1
