name,review_count,rating,address1,address2,city,state,zip_code,url,id,latitude,longitude,alias,title,price
KFC,69,2.5,"5925 W 3rd St",,"Los Angeles",CA,90036,https://www.yelp.com/biz/kfc-los-angeles-55?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,G9AbHqXngRhVJFhB_3QnMg,34.069867133434116,-118.34966241960251,hotdogs,"Fast Food",2
"Kouzeh Bakery",1,5.0,,,"Los Angeles",CA,90036,https://www.yelp.com/biz/kouzeh-bakery-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,kcRQd3SEez8h0H5RRq_JvA,34.0701623877209,-118.34986731981769,desserts,Desserts,2
"The Coffee Bean & Tea Leaf",69,3.5,"5979 W Third St",,"Los Angeles",CA,90036,https://www.yelp.com/biz/the-coffee-bean-and-tea-leaf-los-angeles-24?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,YGR7vLz3kXCg55dqUdI3ig,34.07014,-118.35081,coffee,"Coffee & Tea",2
"ATTITUDE CAFE",119,5.0,"6009 W 3rd St",,"Los Angeles",CA,90036,https://www.yelp.com/biz/attitude-cafe-los-angeles-3?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,McoTPgG-j-K4Ad-K2myQqg,34.07020290605146,-118.3517019,tradamerican,"American (Traditional)",2
"The Thai Thing",344,4.0,"6015 W 3rd St",,"Los Angeles",CA,90036,https://www.yelp.com/biz/the-thai-thing-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,xQWYGO2S3GrOe_fm6NcRbw,34.070275,-118.35184,thai,Thai,2
"SK Donuts & Croissant",2489,4.5,"5850 W 3rd St",,"Los Angeles",CA,90036,https://www.yelp.com/biz/sk-donuts-and-croissant-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,amNWerp63joyW5M6tVbMcQ,34.06895,-118.34747,donuts,Donuts,2
7-Eleven,26,1.5,"6077 West Third St",,"Los Angeles",CA,90036,https://www.yelp.com/biz/7-eleven-los-angeles-184?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,yhpWdzDnDUcfjrQU_E_pOA,34.0706490311454,-118.352942168713,convenience,"Convenience Stores",2
"Piece of Cake",217,5.0,,,"Los Angeles",CA,90036,https://www.yelp.com/biz/piece-of-cake-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,KJRBJkfJdwEkIs85X4RkSg,34.0656,-118.34984,desserts,Desserts,2
"Simply Perfect Desserts",1,1.0,,,"Los Angeles",CA,90036,https://www.yelp.com/biz/simply-perfect-desserts-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,z09GtEOdzJi8RUM5u2b99w,34.0648384094238,-118.349891662598,desserts,Desserts,2
"New Delhi Express",16,2.5,,,"Los Angeles",CA,90036,https://www.yelp.com/biz/new-delhi-express-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,C56xYzrsFxRpIN8RakPpag,34.0648384094238,-118.349891662598,indpak,Indian,2
